Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,53808.78411,57493.58106,80812.5911,90214.75627,89546.27849
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,16375.96485,20121.68342,29107.3295,30911.4104,32802.87222
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7583.348896,10292.94048,20406.72966,22509.63635,24569.28651
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3115.837892,3175.919224,6045.204805,6707.947952,7197.690104
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2870.441069,2988.817287,4793.556282,5188.977509,5405.574657
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,566.6853821,630.2848806,1313.618218,1484.241166,1615.750705
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4448.332617,5175.204391,6263.211613,6647.496817,6850.277706
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10307.06499,11707.46146,17383.09017,20677.62257,20784.49964
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2262.499236,2471.787247,3441.211556,3709.900074,3883.126476
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6010.851368,6384.228441,7685.419214,9481.073354,10308.67917
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12471.67231,13614.2604,23852.9253,25924.74038,28075.14217
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14743.34575,15207.12149,20001.26974,26741.81605,31622.85586
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,26098.47115,26251.3628,25163.99366,29275.72017,32059.72223
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,76297.45816,66629.1627,74150.85809,81803.09765,86689.20888
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,34830.15234,33406.04688,48784.57813,56019.41797,57213.82031
Czechia,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,27937.84157,29237.1871,47796.03374,51709.83739,53217.42174
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,38443.53863,43398.3444,62530.76532,67589.83991,69205.88307
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,5947.860884,6517.375893,7103.69109
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10179.77188,10473.69843,15594.28535,17738.11449,19333.76461
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,41467.38619,44443.71638,69715.18097,77400.3348,73737.44754
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,10378.01272,11711.1143,21912.25896,24379.87335,25624.00977
